pool,profile,architecture,points,sampling,augmentation,id,parameters,center_policy,neighbors,encoder_dimensions,standard_convolution,graph_message_passing,current_status
p35,h0,set_attention,32,uniform,jitter_rotate15,c196,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,uniform,jitter_rotate_so3,c197,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,none,c198,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,jitter,c199,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,rotate15,c200,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,rotate_so3,c201,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,jitter_rotate15,c202,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,32,curvature,jitter_rotate_so3,c203,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,none,c204,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,jitter,c205,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,rotate15,c206,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,rotate_so3,c207,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,jitter_rotate15,c208,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,uniform,jitter_rotate_so3,c209,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,curvature,none,c210,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,curvature,jitter,c211,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
p35,h0,set_attention,48,curvature,rotate15,c212,902594,every_valid_line,fps6,141,False,False,historical_multicenter_not_singlecenter
